Section	Label	Variable	UI	Type	Min	Max	Default	Tier	Formula for UI elements (x from 0.0 to 1.0)	Unit	enum	Notes	OSC path	OSC "inc" or "dec" before value to increment of decrement	OSC path optional value	OSC remote path	Hover help text in the status bar	Keyboard shortcuts	Models
FxDyn	Expander Sidechain Low Cut	effectDynExpScLoCut	H slider (log)	FLOAT	20.0	2000.0	20.0	1	min*pow(max/min,x)	Hz		Nodes <FxDyn1> / <FxDyn2>. Two instances per chain, node types FxDyn1 and FxDyn2; the node IS the instance, so the wire carries <instance> 1-2.	/wfs/effect/dynExpScLoCut <ID> <instance> <value>	y	extra value is transition time in seconds		High-pass the expander's sidechain detector.		
FxDyn	Expander Sidechain High Cut	effectDynExpScHiCut	H slider (log)	FLOAT	1000.0	20000.0	20000.0	1	min*pow(max/min,x)	Hz		Nodes <FxDyn1> / <FxDyn2>. Two instances per chain, node types FxDyn1 and FxDyn2; the node IS the instance, so the wire carries <instance> 1-2. Prototype defect P4 is not reproduced here either: the default is 20 kHz.	/wfs/effect/dynExpScHiCut <ID> <instance> <value>	y	extra value is transition time in seconds		Low-pass the expander's sidechain detector.		
FxMod	Modulation Bypass	effectModBypass	Text button	INT	0	1	1	1			OFF ; ON	Node <FxMod>. Module bypass, one convention across all eleven slots (plan 2.2): 1 = bypassed. Every module ships bypassed, so a new effects channel is silent until the operator switches something in.	/wfs/effect/modBypass <ID> <value>				Bypass the chorus / flanger module.		
FxMod	Mode	effectModMode	Text button	INT	0	1	0	1			Chorus (0) ; Flanger (1)	Node <FxMod>. Chorus and flanger differ only in the delay range and the feedback amount, so the mode switch sets ranges and GUI presets. A mode switch is a slot retrigger.	/wfs/effect/modMode <ID> <value>				Chorus or flanger voicing.		
FxMod	Rate	effectModRate	H slider (log)	FLOAT	0.05	10.0	0.8	1	min*pow(max/min,x)	Hz		Node <FxMod>.	/wfs/effect/modRate <ID> <value>	y	extra value is transition time in seconds		LFO rate of the chorus / flanger (0.05 - 10 Hz).		
FxMod	Depth	effectModDepth	H slider	FLOAT	0.0	100.0	50.0	1	min+(max-min)*x	%		Node <FxMod>. Depth is a fraction of the centre delay.	/wfs/effect/modDepth <ID> <value>	y	extra value is transition time in seconds		Modulation depth as a percentage of the centre delay.		
FxMod	Delay	effectModDelay	H slider (log)	FLOAT	0.1	30.0	15.0	1	min*pow(max/min,x)	ms		Node <FxMod>. Centre delay. GUI preset 2 ms for flanger mode.	/wfs/effect/modDelay <ID> <value>	y	extra value is transition time in seconds		Centre delay of the modulated line.		
FxMod	Feedback	effectModFeedback	H bidirectional slider	FLOAT	-95.0	95.0	0.0	1	min+(max-min)*x	%		Node <FxMod>. Signed: the sign is the polarity of the feedback path. Through a DC blocker and a 12 kHz low-pass, clamped at +-0.95.	/wfs/effect/modFeedback <ID> <value>	y	extra value is transition time in seconds		Signed feedback around the modulated line.		
FxMod	Voices	effectModVoices	Drop down menu	INT	1	3	2	1			1 (1) ; 2 (2) ; 3 (3)	Node <FxMod>. Voice v reads the line at the centre delay modulated by the LFO phase plus v x 120 deg. The ids are spelled out because the labels are bare numbers: an enum without an explicit (N) is read POSITIONALLY by the tool generator (generate_mcp_tools.py parse_enum / coerce_default), which would map the first label to 0 and publish a value one step off the stored id.	/wfs/effect/modVoices <ID> <value>				Number of modulated voices (1 - 3).		
FxMod	Shape	effectModShape	Drop down menu	INT	1	8	1	1			sine (1) ; square (2) ; sawtooth (3) ; triangle (4) ; keystone (5) ; log (6) ; exp (7) ; random (8)	Node <FxMod>. LFOWaveforms shape ids. Shape 0 (OFF) is not offered: the module bypass covers it.	/wfs/effect/modShape <ID> <value>				LFO waveform of the chorus / flanger.		
FxMod	LFO Phase	effectModPhase	Rotation dial	FLOAT	0.0	360.0	0.0	1	min+(max-min)*x	°		Node <FxMod>. Per-channel LFO phase offset: with several linked channels on the same rate, this spreads one modulation across the stage.	/wfs/effect/modPhase <ID> <value>	y	extra value is transition time in seconds		LFO phase offset for this channel (0 - 360 deg).		
FxMod	Input Low Cut	effectModLoCut	H slider (log)	FLOAT	20.0	2000.0	20.0	1	min*pow(max/min,x)	Hz		Node <FxMod>. RBJ 2nd-order high-pass at Q = 0.6 before the delay line (the prototype's loCutFreq).	/wfs/effect/modLoCut <ID> <value>	y	extra value is transition time in seconds		High-pass the signal entering the modulated line.		
FxMod	Through Zero	effectModThroughZero	Text button	INT	0	1	0	1			OFF ; ON	Node <FxMod>. Delays the dry leg by the centre delay so the two can cross. Its alignment delay is the largest in the set (up to 30 ms at 48 kHz) and it MOVES continuously.	/wfs/effect/modThroughZero <ID> <value>				Delay the dry signal so the modulated line can pass through zero.		
FxMod	Mix	effectModMix	H slider	FLOAT	0.0	100.0	50.0	1	min+(max-min)*x	%		Node <FxMod>. Wet percentage.	/wfs/effect/modMix <ID> <value>	y	extra value is transition time in seconds		Dry/wet mix of the chorus / flanger (wet %).		
FxPhaser	Phaser Bypass	effectPhaserBypass	Text button	INT	0	1	1	1			OFF ; ON	Node <FxPhaser>. Designed from scratch - the user's Max phaser was not carried over. Module bypass, one convention across all eleven slots (plan 2.2): 1 = bypassed. Every module ships bypassed, so a new effects channel is silent until the operator switches something in.	/wfs/effect/phaserBypass <ID> <value>				Bypass the phaser module.		
FxPhaser	Stages	effectPhaserStages	Drop down menu	INT	4	12	6	1			4 (4) ; 6 (6) ; 8 (8) ; 12 (12)	Node <FxPhaser>. Designed from scratch - the user's Max phaser was not carried over. STAGES IS A SET, NOT AN INTERVAL: the Min/Max pair is the set's hull, which is all a bounds pair can express, so 5, 7 and 9..11 pass OSC, MCP and OSCQuery and PhaserModule::validateStages then snaps them DOWN to the next member without an error. A combo box is the surface that enforces the set. The ids are spelled out because the labels are bare numbers: an enum without an explicit (N) is read POSITIONALLY by the tool generator (generate_mcp_tools.py parse_enum / coerce_default), which would map the first label to 0 and publish a value one step off the stored id.	/wfs/effect/phaserStages <ID> <value>				Number of allpass stages (4, 6, 8 or 12).		
FxPhaser	Centre Frequency	effectPhaserCentre	H slider (log)	FLOAT	100.0	5000.0	800.0	1	min*pow(max/min,x)	Hz		Node <FxPhaser>. Designed from scratch - the user's Max phaser was not carried over.	/wfs/effect/phaserCentre <ID> <value>	y	extra value is transition time in seconds		Centre frequency of the allpass sweep (100 - 5000 Hz).		
FxPhaser	Spread	effectPhaserSpread	H slider	FLOAT	0.0	3.0	1.0	1	min+(max-min)*x	oct		Node <FxPhaser>. Designed from scratch - the user's Max phaser was not carried over. Spread of the stage frequencies around the centre.	/wfs/effect/phaserSpread <ID> <value>	y	extra value is transition time in seconds		Spread of the allpass stages around the centre, in octaves.		
FxPhaser	Rate	effectPhaserRate	H slider (log)	FLOAT	0.02	10.0	0.3	1	min*pow(max/min,x)	Hz		Node <FxPhaser>. Designed from scratch - the user's Max phaser was not carried over.	/wfs/effect/phaserRate <ID> <value>	y	extra value is transition time in seconds		LFO rate of the phaser (0.02 - 10 Hz).		
FxPhaser	Depth	effectPhaserDepth	H slider	FLOAT	0.0	4.0	2.0	1	min+(max-min)*x	oct		Node <FxPhaser>. Designed from scratch - the user's Max phaser was not carried over.	/wfs/effect/phaserDepth <ID> <value>	y	extra value is transition time in seconds		Sweep depth of the phaser, in octaves.		
FxPhaser	Shape	effectPhaserShape	Drop down menu	INT	1	8	1	1			sine (1) ; square (2) ; sawtooth (3) ; triangle (4) ; keystone (5) ; log (6) ; exp (7) ; random (8)	Node <FxPhaser>. Designed from scratch - the user's Max phaser was not carried over. LFOWaveforms shape ids. Shape 0 (OFF) is not offered.	/wfs/effect/phaserShape <ID> <value>				LFO waveform of the phaser.		
FxPhaser	Feedback	effectPhaserFeedback	H bidirectional slider	FLOAT	-95.0	95.0	30.0	1	min+(max-min)*x	%		Node <FxPhaser>. Designed from scratch - the user's Max phaser was not carried over. Signed.	/wfs/effect/phaserFeedback <ID> <value>	y	extra value is transition time in seconds		Signed feedback around the allpass chain.		
FxPhaser	Mix	effectPhaserMix	H slider	FLOAT	0.0	100.0	50.0	1	min+(max-min)*x	%		Node <FxPhaser>. Designed from scratch - the user's Max phaser was not carried over. Wet percentage.	/wfs/effect/phaserMix <ID> <value>	y	extra value is transition time in seconds		Dry/wet mix of the phaser (wet %).		
FxTrem	Tremolo Bypass	effectTremBypass	Text button	INT	0	1	1	1			OFF ; ON	Node <FxTrem>. Module bypass, one convention across all eleven slots (plan 2.2): 1 = bypassed. Every module ships bypassed, so a new effects channel is silent until the operator switches something in.	/wfs/effect/tremBypass <ID> <value>				Bypass the tremolo module.		
FxTrem	Rate	effectTremRate	H slider (log)	FLOAT	0.05	20.0	4.0	1	min*pow(max/min,x)	Hz		Node <FxTrem>.	/wfs/effect/tremRate <ID> <value>	y	extra value is transition time in seconds		Tremolo rate (0.05 - 20 Hz).		
FxTrem	Depth	effectTremDepth	H slider	FLOAT	0.0	60.0	12.0	1	min+(max-min)*x	dB		Node <FxTrem>. The modulation is dB-linear, i.e. exponential in amplitude - musically smoother than a linear amplitude LFO.	/wfs/effect/tremDepth <ID> <value>	y	extra value is transition time in seconds		Tremolo depth in dB (0 - 60 dB).		
FxTrem	Shape	effectTremShape	H slider	FLOAT	0.0	1.0	0.0	1	min+(max-min)*x			Node <FxTrem>. Continuous blend, the prototype's "waveform": 0 = sine, 1 = triangle. R3-2: the two legs are phase-ALIGNED (Max's cycle is a cosine), so the blend morphs rather than cancels.	/wfs/effect/tremShape <ID> <value>	y	extra value is transition time in seconds		Blend the tremolo LFO from sine (0) to triangle (1).		
FxTrem	Mix	effectTremMix	H slider	FLOAT	0.0	100.0	100.0	1	min+(max-min)*x	%		Node <FxTrem>. Wet percentage. The prototype's dry/wet arithmetic inverts the wet leg and is not reproduced.	/wfs/effect/tremMix <ID> <value>	y	extra value is transition time in seconds		Dry/wet mix of the tremolo (wet %).		
FxReverb	Reverb Bypass	effectReverbBypass	Text button	INT	0	1	1	1			OFF ; ON	Node <FxReverb>, the per-chain reverb MODULE. Unrelated to the <Reverbs> channel family: the two parameter sets deliberately differ, and the effect* / effectReverb* names exist so they never collide. Module bypass, one convention across all eleven slots (plan 2.2): 1 = bypassed. Every module ships bypassed, so a new effects channel is silent until the operator switches something in.	/wfs/effect/reverbBypass <ID> <value>				Bypass the in-chain reverb module.		
FxReverb	Model	effectReverbModel	Drop down menu	INT	0	5	0	1			FDN (0) ; Plate (1) ; Modulated Hall (4) ; Shimmer (5)	Node <FxReverb>, the per-chain reverb MODULE. Unrelated to the <Reverbs> channel family: the two parameter sets deliberately differ, and the effect* / effectReverb* names exist so they never collide. Ids are spatcore::effects::ReverbModel and reach disk: 0 FDN, 1 Plate (Dattorro), 4 Modulated Hall, 5 Shimmer (the hall with its four longest lines pitch-shifted). 2 (SDN-style) and 3 (IR) are RESERVED: the bounds accept them so an old project loads, the engine runs the FDN for them (resolveReverbModel), and the menu does not offer them. A change of model is build-time: the module spills the old tail over the new one rather than fading. The Models column of the rows below says which models use each control; the panel shows only those.	/wfs/effect/reverbModel <ID> <value>				Select the reverb algorithm behind this module: FDN, Plate, Modulated Hall or Shimmer.		
FxReverb	Type	effectReverbType	Drop down menu	INT	0	5	0	1			Room (0) ; Chamber (1) ; Hall (2) ; Cathedral (3) ; Plate (4) ; Custom (5)	Node <FxReverb>, the per-chain reverb MODULE. Unrelated to the <Reverbs> channel family: the two parameter sets deliberately differ, and the effect* / effectReverb* names exist so they never collide. A preset within the model; each model owns its own table. Selecting a type writes the expanded values into the tree so state stays explicit, and editing any of them flips the type to Custom.	/wfs/effect/reverbType <ID> <value>				Named preset within the selected reverb model.		
FxReverb	Early Reflections	effectReverbERProfile	Drop down menu	INT	0	4	0	1			Off (0) ; Room (1) ; Chamber (2) ; Hall (3) ; Cathedral (4)	Node <FxReverb>, the per-chain reverb MODULE. Unrelated to the <Reverbs> channel family: the two parameter sets deliberately differ, and the effect* / effectReverb* names exist so they never collide. spatcore::effects::ErProfile. A tap pattern from an image-source model of a shoebox room (spatcore tools/reverb/gen_er_profiles.py), in front of whichever model runs; with reflections on, the model's input comes that much later (the profile's tail delay). Build-time: a change spills over, the old room's reflections playing out of the ring behind the new one. Every model.	/wfs/effect/reverbERProfile <ID> <value>				Early reflections in front of the reverb: Off, Room, Chamber, Hall or Cathedral.		
FxReverb	ER Level	effectReverbERLevel	H slider	FLOAT	-30.0	6.0	-6.0	1	min+(max-min)*x	dB		Node <FxReverb>, the per-chain reverb MODULE. Unrelated to the <Reverbs> channel family: the two parameter sets deliberately differ, and the effect* / effectReverb* names exist so they never collide. Level of the early reflections against the dry: at 0 dB they carry the dry's energy. Runtime (it glides). Every model; inert while the profile is Off.	/wfs/effect/reverbERLevel <ID> <value>	y	extra value is transition time in seconds		Level of the early reflections (-30 to +6 dB against the dry).		
FxReverb	Predelay	effectReverbPredelay	H slider	FLOAT	0.0	250.0	10.0	1	min+(max-min)*x	ms		Node <FxReverb>, the per-chain reverb MODULE. Unrelated to the <Reverbs> channel family: the two parameter sets deliberately differ, and the effect* / effectReverb* names exist so they never collide.	/wfs/effect/reverbPredelay <ID> <value>	y	extra value is transition time in seconds		Predelay before the reverb module's tail (0 - 250 ms).		
FxReverb	RT60	effectReverbRT60	H slider (log)	FLOAT	0.2	8.0	1.5	1	min*pow(max/min,x)	s		Node <FxReverb>, the per-chain reverb MODULE. Unrelated to the <Reverbs> channel family: the two parameter sets deliberately differ, and the effect* / effectReverb* names exist so they never collide.	/wfs/effect/reverbRT60 <ID> <value>	y	extra value is transition time in seconds		Reverb decay time RT60 (0.2 - 8.0 seconds).		
FxReverb	RT60 Low Mult	effectReverbRT60LowMult	H slider (log)	FLOAT	0.1	9.0	1.3	1	min*pow(max/min,x)	x		Node <FxReverb>, the per-chain reverb MODULE. Unrelated to the <Reverbs> channel family: the two parameter sets deliberately differ, and the effect* / effectReverb* names exist so they never collide.	/wfs/effect/reverbRT60LowMult <ID> <value>	y	extra value is transition time in seconds		Low frequency RT60 multiplier (0.1 - 9.0x).		
FxReverb	RT60 High Mult	effectReverbRT60HighMult	H slider (log)	FLOAT	0.1	9.0	0.4	1	min*pow(max/min,x)	x		Node <FxReverb>, the per-chain reverb MODULE. Unrelated to the <Reverbs> channel family: the two parameter sets deliberately differ, and the effect* / effectReverb* names exist so they never collide.	/wfs/effect/reverbRT60HighMult <ID> <value>	y	extra value is transition time in seconds		High frequency RT60 multiplier (0.1 - 9.0x).		
FxReverb	Crossover Low	effectReverbCrossoverLow	H slider (log)	FLOAT	50.0	500.0	200.0	1	min*pow(max/min,x)	Hz		Node <FxReverb>, the per-chain reverb MODULE. Unrelated to the <Reverbs> channel family: the two parameter sets deliberately differ, and the effect* / effectReverb* names exist so they never collide.	/wfs/effect/reverbCrossoverLow <ID> <value>	y	extra value is transition time in seconds		Low crossover frequency for 3-band decay (50 - 500 Hz).		
FxReverb	Crossover High	effectReverbCrossoverHigh	H slider (log)	FLOAT	1000.0	10000.0	4000.0	1	min*pow(max/min,x)	Hz		Node <FxReverb>, the per-chain reverb MODULE. Unrelated to the <Reverbs> channel family: the two parameter sets deliberately differ, and the effect* / effectReverb* names exist so they never collide. The default is 4000 Hz here where the <Reverbs> family uses 2500 Hz; that difference is deliberate.	/wfs/effect/reverbCrossoverHigh <ID> <value>	y	extra value is transition time in seconds		High crossover frequency for 3-band decay (1 - 10 kHz).		
FxReverb	Diffusion	effectReverbDiffusion	H slider	FLOAT	0.0	1.0	0.5	1	min+(max-min)*x			Node <FxReverb>, the per-chain reverb MODULE. Unrelated to the <Reverbs> channel family: the two parameter sets deliberately differ, and the effect* / effectReverb* names exist so they never collide.	/wfs/effect/reverbDiffusion <ID> <value>	y	extra value is transition time in seconds		Diffusion amount controlling echo density (0 - 1).		
FxReverb	Size	effectReverbSize	H slider	FLOAT	0.5	2.0	1.0	1	min+(max-min)*x	x		Node <FxReverb>, the per-chain reverb MODULE. Unrelated to the <Reverbs> channel family: the two parameter sets deliberately differ, and the effect* / effectReverb* names exist so they never collide. BUILD-TIME on every model: the module builds the new size on its idle twin and spills the old tail over it (spatcore 0.4) - nothing fades, nothing allocates. Stepped in hundredths. Not ramp-capable.	/wfs/effect/reverbSize <ID> <value>				Room size multiplier of the reverb module (0.5 - 2.0x).		
FxReverb	Modulation Rate	effectReverbModRate	H slider (log)	FLOAT	0.05	5.0	0.8	1	min*pow(max/min,x)	Hz		Node <FxReverb>, the per-chain reverb MODULE. Unrelated to the <Reverbs> channel family: the two parameter sets deliberately differ, and the effect* / effectReverb* names exist so they never collide. The rate of the tank's modulation: the plate's two modulated allpasses, the hall's four LFO pairs (at 1, 1.13, 0.87 and 1.27 times this). The FDN has none.	/wfs/effect/reverbModRate <ID> <value>	y	extra value is transition time in seconds		Speed of the modulation inside the reverb tank (0.05 - 5 Hz).		1,4,5
FxReverb	Modulation Depth	effectReverbModDepth	H slider	FLOAT	0.0	100.0	50.0	1	min+(max-min)*x	%		Node <FxReverb>, the per-chain reverb MODULE. Unrelated to the <Reverbs> channel family: the two parameter sets deliberately differ, and the effect* / effectReverb* names exist so they never collide. How far the tank's read points move: 50 % is the plate paper's 16 samples at 29761 Hz (0.54 ms); on the hall 100 % is 1 ms either way. Moving modes stop a long tail ringing metallic. 0 is no modulation at all.	/wfs/effect/reverbModDepth <ID> <value>	y	extra value is transition time in seconds		Depth of the modulation inside the reverb tank (0 - 100 %).		1,4,5
FxReverb	Shimmer Interval	effectReverbShimmerPitch	Drop down menu	INT	0	7	0	1			Octave up (+12) (0) ; Fifth up (+7) (1) ; Fifth + octave (+7 & +12) (2) ; Twelfth (+19) (3) ; Two octaves (+24) (4) ; Fourth up (+5) (5) ; Octave down (-12) (6) ; Octave down + up (-12 & +12) (7)	Node <FxReverb>, the per-chain reverb MODULE. Unrelated to the <Reverbs> channel family: the two parameter sets deliberately differ, and the effect* / effectReverb* names exist so they never collide. spatcore::effects::ShimmerInterval: the pitch the shimmer lines climb by on every pass; the two-voice entries split the four lines two and two. Build-time (a change spills over). Shimmer only.	/wfs/effect/reverbShimmerPitch <ID> <value>				The interval the shimmer climbs by on every pass through the tank.		5
FxReverb	Shimmer Amount	effectReverbShimmerAmount	H slider	FLOAT	0.0	100.0	50.0	1	min+(max-min)*x	%		Node <FxReverb>, the per-chain reverb MODULE. Unrelated to the <Reverbs> channel family: the two parameter sets deliberately differ, and the effect* / effectReverb* names exist so they never collide. How much of the shimmer lines is pitch-shifted, mixed at equal power. Climbing voices fade faster than the tail by design, so the tail shortens as this rises: at 50 % an octave shimmer rings about two thirds of its RT60 on music. Runtime. Shimmer only.	/wfs/effect/reverbShimmerAmount <ID> <value>	y	extra value is transition time in seconds		How much of the tail is pitch-shifted (0 - 100 %).		5
FxReverb	Tone	effectReverbTone	H slider (log)	FLOAT	1000.0	20000.0	12000.0	1	min*pow(max/min,x)	Hz		Node <FxReverb>, the per-chain reverb MODULE. Unrelated to the <Reverbs> channel family: the two parameter sets deliberately differ, and the effect* / effectReverb* names exist so they never collide. One-pole low-pass on the wet signal.	/wfs/effect/reverbTone <ID> <value>	y	extra value is transition time in seconds		Low-pass the reverb tail (1 - 20 kHz).		
FxReverb	Mix	effectReverbMix	H slider	FLOAT	0.0	100.0	30.0	1	min+(max-min)*x	%		Node <FxReverb>, the per-chain reverb MODULE. Unrelated to the <Reverbs> channel family: the two parameter sets deliberately differ, and the effect* / effectReverb* names exist so they never collide. Wet percentage.	/wfs/effect/reverbMix <ID> <value>	y	extra value is transition time in seconds		Dry/wet mix of the reverb module (wet %).		
FxDelay	Delay Bypass	effectDelayBypass	Text button	INT	0	1	1	1			OFF ; ON	Node <FxDelay>. Module bypass, one convention across all eleven slots (plan 2.2): 1 = bypassed. Every module ships bypassed, so a new effects channel is silent until the operator switches something in.	/wfs/effect/delayBypass <ID> <value>				Bypass the multitap delay module.		
FxDelay	Delay Time	effectDelayTime	H slider (log)	FLOAT	1.0	20000.0	375.0	1	min*pow(max/min,x)	ms		Node <FxDelay>. THE MAX IS A HULL: 20000 ms is the largest the global cap allows (effectsGlobalMaxDelaySecondsMax x 1000). The LIVE maximum is the current effectsGlobalMaxDelaySeconds x 1000, which is narrower whenever the cap is not 20 s.	/wfs/effect/delayTime <ID> <value>	y	extra value is transition time in seconds		Base delay time of the multitap delay.		
FxDelay	Taps	effectDelayTaps	Drop down menu	INT	1	8	3	1			1 (1) ; 2 (2) ; 3 (3) ; 4 (4) ; 5 (5) ; 6 (6) ; 7 (7) ; 8 (8)	Node <FxDelay>. How many of the eight taps are live. The ids are spelled out because the labels are bare numbers: an enum without an explicit (N) is read POSITIONALLY by the tool generator (generate_mcp_tools.py parse_enum / coerce_default), which would map the first label to 0 and publish a value one step off the stored id.	/wfs/effect/delayTaps <ID> <value>				Number of live taps (1 - 8).		
FxDelay	Tap Mode	effectDelayTapMode	Text button	INT	0	1	1	1			Manual (0) ; Pattern (1)	Node <FxDelay>. Manual uses the per-tap times; Pattern derives them from the base time.	/wfs/effect/delayTapMode <ID> <value>				Take tap times from the pattern or from the taps.		
FxDelay	Pattern	effectDelayPattern	Drop down menu	INT	0	3	0	1			Equal (0) ; Dotted (1) ; Triplet (2) ; Golden (3)	Node <FxDelay>. Equal base*k, Dotted 1.5*base*k, Triplet (2/3)*base*k, Golden base*phi^(k-1).	/wfs/effect/delayPattern <ID> <value>				Tap spacing pattern (Pattern mode only).		
FxDelay	Feedback	effectDelayFeedback	H slider	FLOAT	0.0	95.0	30.0	1	min+(max-min)*x	%		Node <FxDelay>. Clamped at 0.95. The first repeat is at unity whatever this says, because the line is written at unity and only the recirculating path is scaled.	/wfs/effect/delayFeedback <ID> <value>	y	extra value is transition time in seconds		Feedback amount of the delay line (0 - 95 %).		
FxDelay	Feedback Tap	effectDelayFeedbackTap	Drop down menu	INT	0	8	0	1			last (0) ; tap 1 (1) ; tap 2 (2) ; tap 3 (3) ; tap 4 (4) ; tap 5 (5) ; tap 6 (6) ; tap 7 (7) ; tap 8 (8)	Node <FxDelay>. Which tap feeds the loop. 0 = whichever tap is currently last.	/wfs/effect/delayFeedbackTap <ID> <value>				Tap that feeds the feedback loop.		
FxDelay	Input Low Cut	effectDelayInLoCut	H slider (log)	FLOAT	20.0	2000.0	20.0	1	min*pow(max/min,x)	Hz		Node <FxDelay>. RBJ 2nd-order high-pass at Q = 0.6 before the line (the prototype's loCutFreq). The dry is tapped BEFORE this cut.	/wfs/effect/delayInLoCut <ID> <value>	y	extra value is transition time in seconds		High-pass the signal entering the delay line.		
FxDelay	Feedback Low Shelf Frequency	effectDelayFbLoShelfFreq	H slider (log)	FLOAT	20.0	2000.0	200.0	1	min*pow(max/min,x)	Hz		Node <FxDelay>. The two shelves sit strictly INSIDE the feedback loop, after the feedback gain. Prototype defects P1 and P2 are not reproduced.	/wfs/effect/delayFbLoShelfFreq <ID> <value>	y	extra value is transition time in seconds		Corner frequency of the low shelf inside the feedback loop.		
FxDelay	Feedback Low Shelf Gain	effectDelayFbLoShelfGain	Basic dial	FLOAT	-24.0	24.0	0.0	1	min+(max-min)*x	dB		Node <FxDelay>. Gain in dB means gain in dB (prototype defect P2 not reproduced).	/wfs/effect/delayFbLoShelfGain <ID> <value>	y	extra value is transition time in seconds		Gain of the low shelf inside the feedback loop.		
FxDelay	Feedback High Shelf Frequency	effectDelayFbHiShelfFreq	H slider (log)	FLOAT	1000.0	20000.0	4000.0	1	min*pow(max/min,x)	Hz		Node <FxDelay>. The two shelves sit strictly INSIDE the feedback loop, after the feedback gain. Prototype defects P1 and P2 are not reproduced.	/wfs/effect/delayFbHiShelfFreq <ID> <value>	y	extra value is transition time in seconds		Corner frequency of the high shelf inside the feedback loop.		
FxDelay	Feedback High Shelf Gain	effectDelayFbHiShelfGain	Basic dial	FLOAT	-24.0	24.0	-3.0	1	min+(max-min)*x	dB		Node <FxDelay>. Gain in dB means gain in dB (prototype defect P2 not reproduced).	/wfs/effect/delayFbHiShelfGain <ID> <value>	y	extra value is transition time in seconds		Gain of the high shelf inside the feedback loop.		
FxDelay	Time Modulation Rate	effectDelayModRate	H slider (log)	FLOAT	0.02	10.0	0.1	1	min*pow(max/min,x)	Hz		Node <FxDelay>. The prototype's modFreq.	/wfs/effect/delayModRate <ID> <value>	y	extra value is transition time in seconds		Rate of the delay-time modulation LFO.		
FxDelay	Time Modulation Depth	effectDelayModDepth	H slider	FLOAT	0.0	50.0	0.0	1	min+(max-min)*x	%		Node <FxDelay>. Percentage of the delay time. Applied through the same smoother as manual changes so the wobble never teleports.	/wfs/effect/delayModDepth <ID> <value>	y	extra value is transition time in seconds		Depth of the delay-time modulation, as a percentage of the time.		
FxDelay	Diffusion	effectDelayDiffusion	H slider	FLOAT	0.0	1.0	0.0	1	min+(max-min)*x			Node <FxDelay>. Two small allpasses on the wet sum.	/wfs/effect/delayDiffusion <ID> <value>	y	extra value is transition time in seconds		Smear the tap sum with two allpasses (0 - 1).		
FxDelay	Glide	effectDelayGlide	H slider	FLOAT	0.0	2000.0	200.0	1	min+(max-min)*x	ms		Node <FxDelay>. Time the tap smoother takes to reach a new delay time.	/wfs/effect/delayGlide <ID> <value>	y	extra value is transition time in seconds		Glide time when a delay time changes.		
FxDelay	Mix	effectDelayMix	H slider	FLOAT	0.0	100.0	35.0	1	min+(max-min)*x	%		Node <FxDelay>. Wet percentage.	/wfs/effect/delayMix <ID> <value>	y	extra value is transition time in seconds		Dry/wet mix of the multitap delay (wet %).		
FxDelay	Tap Time	effectDelayTapTime	H slider (log)	FLOAT	1.0	20000.0	375 / 750 / 1125 / 1500 / 1875 / 2250 / 2625 / 3000	1	min*pow(max/min,x)	ms		Per-tap property on the eight <Tap id="1".."8"> children of <FxDelay>. All eight taps always exist; effectDelayTaps says how many are live. Defaults are k x 375 ms. Same hull caveat as effectDelayTime: the live maximum is effectsGlobalMaxDelaySeconds x 1000.	/wfs/effect/delayTapTime <ID> <tap> <value>	y	extra value is transition time in seconds		Delay time of Tap <Tap ID> (Manual mode).		
FxDelay	Tap Level	effectDelayTapLevel	H slider	FLOAT	-60.0	0.0	0 / -2 / -4 / -6 / -8 / -10 / -12 / -14	2	min+(max-min)*x	dB		Per-tap property on the eight <Tap id="1".."8"> children of <FxDelay>. All eight taps always exist; effectDelayTaps says how many are live. Defaults are -2 dB per tap.	/wfs/effect/delayTapLevel <ID> <tap> <value>	y	extra value is transition time in seconds		Level of Tap <Tap ID>.		
FxCrush	Bitcrusher Bypass	effectCrushBypass	Text button	INT	0	1	1	1			OFF ; ON	Node <FxCrush>. Module bypass, one convention across all eleven slots (plan 2.2): 1 = bypassed. Every module ships bypassed, so a new effects channel is silent until the operator switches something in.	/wfs/effect/crushBypass <ID> <value>				Bypass the bitcrusher / downsampler module.		
FxCrush	Bits	effectCrushBits	H slider	FLOAT	1.0	24.0	8.0	1	min+(max-min)*x	bits		Node <FxCrush>. Fractional values are allowed and give a continuous step size.	/wfs/effect/crushBits <ID> <value>	y	extra value is transition time in seconds		Word length of the quantiser (1 - 24 bits).		
FxCrush	Rate	effectCrushRate	H slider (log)	FLOAT	100.0	96000.0	12000.0	1	min*pow(max/min,x)	Hz		Node <FxCrush>. Clamped to the device rate; equal to the device rate means no decimation.	/wfs/effect/crushRate <ID> <value>	y	extra value is transition time in seconds		Sample-and-hold rate of the downsampler.		
FxCrush	Filter	effectCrushFilter	Text button	INT	0	1	0	1			hold (0) ; anti-aliased (1)	Node <FxCrush>. 0 = plain hold, the classic aliasing sound. 1 = 3rd-order low-pass at 0.45 x rate before the hold.	/wfs/effect/crushFilter <ID> <value>				Alias freely, or low-pass before the hold.		
